RSSI_WIFI,SINR_WIFI,throughput_WIFI,latency_WIFI,RSRP_5G,SINR_5G,throughput_5G,latency_5G
0.5630422027677372,0.38124839646236136,0.4789594592245634,0.5990863329146123,0.5449204077699099,0.3032954098255035,0.2701085726888406,0.6744368104678828
0.48213919035005126,0.42599641111492,0.4932694331752928,0.5201186725533986,0.5360779944795266,0.4162622022831069,0.3490617569540167,0.6453047911576608
0.5822779460771252,0.3909795538941735,0.5437770406626867,0.34732837671226435,0.37003860139132727,0.47337586883695504,0.35822229879837353,0.7192146206469812
0.6938057452934229,0.47589378101932567,0.6744653787809965,0.360574610918001,0.5764036080187946,0.5632889661719431,0.5599475251641085,0.3494481696468805
0.46992190194095285,0.6062717732644834,0.6286706184183342,0.458127903900883,0.294690213719238,0.6700199257742413,0.5640088540528012,0.4640441590735491
0.46992399374009597,0.37014553815409446,0.4590377382045766,0.5321055555262257,0.40846879408826053,0.6297405686686404,0.5773016664240507,0.4923173826425111
0.7009640521741356,0.5827148197692782,0.7493383753635551,0.27975727929936567,0.22540681109298277,0.4010867455914051,0.2888154153047899,0.6580783030958643
0.5975348851399503,0.3688702737126654,0.5293932513300553,0.4954349327808567,0.7096662738602357,0.49965496741954085,0.6030725469021037,0.31880367363250506
0.4399395008582123,0.3609576757911134,0.38789182245888876,0.48382745689517237,0.4659958740124921,0.5543435968038897,0.4958313819483319,0.4165919866700747
0.5688834571127261,0.5608532921989677,0.6537584347410833,0.2629596476995346,0.7924594470916055,0.5130199490426781,0.6074780959898203,0.4338136423844208
0.44071118801652676,0.5732511400523792,0.5450096390720239,0.37159911562594883,0.60680710480261,0.5121548540597544,0.590353024971005,0.4847101991595124
0.4404166068713459,0.5647901259276237,0.5299685276106633,0.3164203029745061,0.5585063464930649,0.3347631121281711,0.32047823056502944,0.6425949996554221
0.5305841020365447,0.304791583062451,0.3830220187582877,0.7793825190654131,0.41771873345957045,0.40433210485051246,0.3936959240082355,0.5988683668880366
0.2559832696702087,0.4067471407569596,0.32216784253916764,0.7472915596991487,0.355089028767847,0.4958436747740053,0.4275483863352192,0.5095634733293533
0.2799826455047709,0.5613804345380069,0.5077392241217948,0.5207514666934141,0.5686977587290685,0.16749724855336875,0.22685433697373553,0.7171668659524346
0.4281141186961047,0.4676307445641691,0.47305473095499184,0.5434215258157293,0.48777915694239127,0.6232119748682541,0.5680111531846227,0.2556256198764
